Language	Wiki	Articles	Total	Edits	Admins	Users	Active Users	Files	Depth
English	en	6,031,239	49,819,292	940,317,548	1,143	38,513,551	139,966	883,347	995
Cebuano	ceb	5,378,514	9,744,273	29,557,001	6	65,997	146	0	2
Swedish	sv	3,737,359	7,779,045	47,278,238	59	716,960	2,730	0	7
German	de	2,406,831	6,729,269	196,256,269	191	3,408,196	19,828	129,864	94
French	fr	2,188,822	10,626,193	167,856,200	162	3,723,338	20,877	60,020	235
Dutch	nl	2,000,495	4,188,678	55,666,777	39	1,056,318	4,329	23	16
Russian	ru	1,603,339	6,130,613	105,313,936	84	2,709,593	11,676	223,735	137
Italian	it	1,588,442	6,561,422	111,074,717	109	1,945,922	8,740	140,658	166
Spanish	es	1,581,844	6,967,310	123,721,771	67	5,744,366	17,142	0	206
Polish	pl	1,388,444	3,164,143	58,834,713	102	1,017,270	4,659	272	30
Waray-Waray	war	1,263,962	2,878,224	6,208,481	3	44,035	64	42	4
Vietnamese	vi	1,241,445	17,902,943	59,282,663	21	727,118	2,232	32,279	--
Japanese	ja	1,194,068	3,541,509	76,351,047	41	1,604,136	14,667	85,965	83
Chinese	zh	1,101,605	6,108,083	58,264,074	80	2,906,606	8,833	52,792	197
Arabic	ar	1,033,104	6,421,585	44,942,366	25	1,815,124	5,055	34,876	190
Portuguese	pt	1,023,448	4,991,194	57,597,446	73	2,373,301	5,668	54,573	173
Ukrainian	uk	996,289	3,084,812	27,357,204	46	496,716	3,158	104,206	39
Persian	fa	713,502	4,559,965	28,346,261	33	900,659	5,073	61,455	181
Catalan	ca	639,205	1,574,105	22,813,733	21	349,368	1,477	12,290	31
Serbian	sr	631,074	3,868,734	22,944,367	19	260,128	948	33,114	156
Norwegian (Bokmål)	nb	529,908	1,444,172	20,216,165	43	488,306	1,521	3	42
Indonesian	id	522,767	2,737,229	16,641,594	32	1,141,966	3,521	61,064	109
Korean	ko	487,334	2,231,867	25,864,072	24	611,935	2,528	15,693	149
Finnish	fi	480,182	1,281,699	18,731,076	37	443,939	1,800	58,463	41
Hungarian	hu	465,902	1,344,045	22,294,373	31	438,999	1,894	12,363	59
Serbo-Croatian	sh	451,139	4,626,651	40,956,248	11	145,230	188	10,133	758
Czech	cs	447,831	1,251,079	18,210,807	35	487,945	2,597	1	47
Romanian	ro	404,814	2,190,537	13,258,298	18	513,747	1,006	38,002	118
Basque	eu	351,575	712,647	7,741,514	12	109,367	453	0	11
Turkish	tr	343,833	1,755,342	21,598,398	24	1,141,767	3,447	33,869	207
Malay	ms	335,329	922,008	4,720,205	14	251,106	437	21,623	16
Min Nan	nan	301,152	849,084	2,355,078	6	41,785	83	362	9
Esperanto	eo	275,969	613,948	6,890,785	19	168,554	342	6,664	17
Armenian	hy	265,333	878,535	6,795,718	12	95,164	855	8,264	41
Bulgarian	bg	260,228	579,193	9,954,063	27	266,642	809	578	26
Hebrew	he	259,760	1,100,307	27,394,128	37	612,614	2,951	62,012	261
Danish	da	257,582	850,336	10,246,429	25	374,885	976	0	64
Chechen	ce	254,162	521,431	4,848,558	3	22,085	41	328	10
Slovak	sk	232,624	516,215	6,973,994	9	185,138	574	0	20
Kazakh	kk	226,286	546,632	2,746,237	18	95,174	299	9,712	10
Minangkabau	min	223,761	326,342	2,015,082	5	10,955	72	115	1
Croatian	hr	215,745	535,544	5,460,094	16	233,345	621	18,551	22
Estonian	et	206,516	495,583	5,567,690	34	137,172	571	1,123	22
Lithuanian	lt	198,534	472,171	5,757,084	13	140,976	342	22,997	23
Belarusian	be	186,172	570,025	3,558,781	10	93,624	237	3,069	27
South Azerbaijani	azb	183,970	485,683	1,260,880	5	22,498	89	0	7
Greek	el	174,474	524,851	8,095,852	22	297,008	1,081	17,912	62
Egyptian Arabic	arz	173,201	349,732	1,242,362	7	123,876	115	1,454	4
Slovenian	sl	167,239	402,822	5,278,762	20	188,027	394	8,349	26
Galician	gl	162,046	439,125	5,390,233	7	105,492	257	9,309	36
Azerbaijani	az	156,211	404,341	5,063,746	16	192,123	723	22,184	32
Simple English	en-simple	155,975	540,271	6,839,629	16	956,505	1,145	36	77
Urdu	ur	152,201	854,627	4,097,269	13	109,778	300	10,295	102
Norwegian (Nynorsk)	nn	151,846	350,919	3,192,597	17	102,859	157	16	16
Hindi	hi	136,983	976,346	4,596,083	8	534,679	1,752	4,229	177
Thai	th	135,613	832,113	8,726,404	14	376,828	1,091	33,933	277
Georgian	ka	135,576	396,285	3,814,674	4	118,727	294	14,374	36
Uzbek	uz	134,517	632,537	2,081,588	10	51,045	232	1,233	45
Latin	la	132,308	261,119	3,504,134	21	129,188	156	0	13
Tamil	ta	127,592	399,648	2,920,523	39	171,047	450	7,804	33
Volapük	vo	124,178	254,937	3,209,436	3	27,528	37	0	14
Welsh	cy	108,667	238,016	9,845,860	14	59,817	118	17,789	59
Macedonian	mk	104,472	466,586	3,922,197	17	86,876	260	7,934	101
Tajik	tg	100,546	241,246	1,122,783	6	28,096	62	437	9
Latvian	lv	100,518	407,406	3,179,357	13	89,479	276	24,237	73
Asturian	ast	100,285	157,677	2,795,055	9	68,535	141	0	6
Malagasy	mg	92,742	237,229	979,800	3	22,586	43	3	10
Afrikaans	af	89,553	278,201	2,145,861	14	120,761	194	9,288	34
Tatar	tt	89,055	213,241	2,425,508	3	32,682	70	4,711	22
Occitan	oc	87,963	147,908	2,156,188	5	40,559	76	901	7
Bengali	bn	82,813	755,980	4,040,096	12	270,957	1,090	7,631	353
Bosnian	bs	82,212	358,097	3,149,435	9	121,993	185	6,860	99
Kirghiz	ky	79,767	105,490	354,201	2	25,000	61	2,677	0
Albanian	sq	78,776	234,169	2,077,087	14	121,191	304	11,389	35
Cantonese	yue	78,067	198,424	1,380,733	11	196,227	288	1,607	17
Tagalog	tl	72,282	232,179	1,743,916	12	104,892	112	1,906	37
Newar	new	72,234	196,478	845,455	2	21,349	22	0	13
Telugu	te	70,297	266,332	2,861,515	15	94,912	184	12,816	84
Belarusian (Taraškievica)	be-tarask	69,238	193,527	2,108,949	4	63,084	122	1,534	35
Malayalam	ml	67,834	421,899	3,235,871	19	134,460	316	6,200	209
Breton	br	67,799	132,238	1,862,530	4	57,891	88	5,401	13
Piedmontese	pms	64,610	99,286	846,004	10	21,541	31	2,078	2
Low Saxon	nds	61,628	124,983	922,839	4	39,080	48	0	8
Sundanese	su	59,871	93,374	596,720	8	23,597	70	547	2
Haitian	ht	58,022	70,976	739,879	2	22,754	42	0	1
